%1 is too long. The maximum length is %2 characters.,%1 ist zu lang. Die maximale Länge beträgt %2 Zeichen.
(Re)Create Webhooks,Webhooks (neu) erstellen
"<p>If you plan to no longer use the TreviPay module, please delete the created webhooks so that TreviPay will stop sending updates to your Magento website. In order to do it please click on the <strong>Delete Webhooks</strong> button.</p><p>Please note that webhooks can be (re)created at any time by clicking on the <strong>(Re)Create Webhooks</strong> button.</p>","<p>Wenn Sie vorhaben, das TreviPay-Modul nicht mehr zu nutzen, löschen Sie bitte die erstellten Webhooks, damit TreviPay keine Updates mehr an Ihre Magento-Website sendet. Klicken Sie dazu bitte auf die Schaltfläche <strong>Webhooks löschen</strong>.</p><p>Bitte beachten Sie, dass Webhooks jederzeit (neu) erstellt werden können, indem Sie auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong> klicken.</p>"
"<p>It looks like the <strong>API Key</strong> had been edited recently or the <strong>Sandbox Mode</strong> status had been changed.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Es sieht so aus, als ob der <strong>API-Schlüssel</strong> kürzlich bearbeitet oder der Status des <strong>Sandbox-Modus</strong> verändert wurde.</p><p>Bitte prüfen Sie die Einstellungen und klicken Sie, sobald Sie sich versichert haben, dass alles korrekt eingerichtet ist, auf die Schaltfläche <strong>Erstellte Webhooks prüfen</strong>. Magento ruft die in TreviPay erstellten Webhooks gemäß dem aktuell konfigurierten <strong>API-Schlüssel</strong> (oder dem <strong>Sandbox-API-Schlüssel</strong>, wenn der <strong>Sandbox-Modus</strong> auf ""Ja"" gesetzt ist) ab.</p><p>Wenn die Webhooks nicht in TreviPay erstellt wurden, klicken Sie auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong>. Die Webhooks werden gemäß der Konfiguration des aktuellen TreviPay-Moduls (neu) erstellt.</p>"
"<p>It looks like the website <strong>Base URL</strong> had been edited recently.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Es sieht so aus, als ob die Website <strong>Basis-URL</strong> kürzlich bearbeitet wurde.</p><p>Bitte prüfen Sie die Einstellungen und klicken Sie, sobald Sie sich versichert haben, dass alles korrekt eingerichtet ist, auf die Schaltfläche <strong>Erstellte Webhooks prüfen</strong>. Magento ruft die in TreviPay erstellten Webhooks gemäß dem aktuell konfigurierten <strong>API-Schlüssel</strong> (oder dem <strong>Sandbox-API-Schlüssel</strong>, wenn der <strong>Sandbox-Modus</strong> auf ""Ja"" gesetzt ist) ab.</p><p>Wenn die Webhooks nicht in TreviPay oder unter Verwendung der alten Website <strong>Basis-URL</strong> erstellt wurden, klicken Sie auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong>. Die Webhooks werden gemäß der Konfiguration des aktuellen TreviPay-Moduls (neu) erstellt.</p>"
"<p>Please note that this might be correct if your websites do not require separate TreviPay programs as it is fine for webhooks to be triggered only to your main website URL.</p><p>If you want to use multiple TreviPay programs, please review the settings and click on the <strong>Check Created Webhooks</strong> button once you have confirmed that everything is correctly set up. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Bitte beachten Sie, dass dies korrekt sein könnte, wenn Ihre Websites keine separaten TreviPay-Programme benötigen, da es in Ordnung ist, wenn Webhooks nur auf die URL Ihrer Haupt-Website ausgelöst werden.</p><p>Wenn Sie mehrere TreviPay-Programme verwenden möchten, überprüfen Sie bitte die Einstellungen und klicken Sie auf die Schaltfläche <strong>Erstellte Webhooks prüfen</strong>, sobald Sie sichergestellt haben, dass alles korrekt eingerichtet ist. Magento ruft die in TreviPay erstellten Webhooks entsprechend dem aktuell konfigurierten <strong>API-Schlüssel</strong> ab (oder dem <strong>Sandbox-API-Schlüssel</strong>, wenn der <strong>Sandbox-Modus</strong> auf „Ja“ eingestellt ist)</p><p>Wenn die Webhooks nicht in TreviPay erstellt werden oder sie zwar erstellt werden, aber unter Verwendung der <strong>Basis-URL</strong> der alten Website, klicken Sie bitte auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong>. Die Webhooks werden dann entsprechend der Konfiguration des aktuellen TreviPay-Moduls (neu) erstellt.</p>"
"<p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Bitte prüfen Sie die Einstellungen und klicken Sie, sobald Sie sich versichert haben, dass alles korrekt eingerichtet ist, auf die Schaltfläche <strong>Erstellte Webhooks prüfen</strong>. Magento ruft die in TreviPay erstellten Webhooks gemäß dem aktuell konfigurierten <strong>API-Schlüssel</strong> (oder dem <strong>Sandbox-API-Schlüssel</strong>, wenn der <strong>Sandbox-Modus</strong> auf ""Ja"" gesetzt ist) ab.</p><p>Wenn die Webhooks nicht in TreviPay erstellt wurden, klicken Sie auf die Schaltfläche <strong>Webhooks (neu) erstellen</strong>. Die Webhooks werden gemäß der Konfiguration des aktuellen TreviPay-Moduls (neu) erstellt.</p>"
A customer website ID wasn't specified. The ID must be specified to use the website scope.,"Es wurde keine Kunden-Website-ID angegeben. Die ID muss angegeben werden, um den ganzen Website-Umfang nutzen zu können."
Accepted Currency,Akzeptierte Währungen
Accounts Payable Integration,Integration mit Buchhaltungssystemen
Active buyers only,Nur aktive Käufer
Adjustment Fee,Ausgleichsgebühr
Adjustment Refund,Ausgleichs-Rückerstattung
All customers,Alle Kunden
"An error occurred with the following message: ""%1"". Please check the exception log for more details.",Bei der folgenden Meldung ist ein Fehler aufgetreten: „%1“. Weitere Details können Sie dem Ausnahmeprotokoll entnehmen.
"An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details.","Bei der folgenden Meldung ist ein Fehler aufgetreten: „%1“. Bitte aktivieren Sie den Debug-Modus, versuchen Sie es erneut und schauen Sie im Debug-Protokoll nach, um weitere Details zu erfahren."
"Any empty TreviPay fields will be populated when the Magento Customer signs in to the TreviPay Checkout App, or the TreviPay Customer and TreviPay Buyer status is no longer pending","Alle leeren TreviPay-Felder werden ausgefüllt, wenn sich der Magento-Kunde bei der TreviPay-Checkout-App anmeldet oder der Status als TreviPay-Kunde und TreviPay-Käufer nicht mehr anhängig ist"
API Key,API-Schlüssel
API key does not match your webhooks API key,API-Schlüssel stimmt nicht mit dem API-Schlüssel Ihres Webhooks überein
API key matching webhooks,API-Schlüssel stimmt mit Webhooks überein
API URL,API-URL
API URL is not set.,Die API-URL ist nicht festgelegt.
Apply for Credit,Kredit beantragen
Apply Now,Jetzt anmelden
"Apply for TreviPay","Bewerben für %1"
Approval for a Line of Credit,Zugriff auf den Kreditrahmen
Approved Limit,Genehmigtes Limit
Are you sure you want to delete the webhooks?,"Sind Sie sicher, dass Sie die Webhooks löschen möchten?"
authorization,Vorautorisierung
Authorization transaction is required to void.,"Eine Vorautorisierungstransaktion ist erforderlich, um zu annullieren."
Authorize Only,Nur autorisieren
Authorized,Vorautorisiert
Availability,Verfügbarkeit
Available,Verfügbar
Balance,Saldo
Base URL matching webhooks Base URL,Basis-URL stimmt mit Webhooks-Basis-URL überein
Base URL not matching webhooks Base URL,Basis-URL stimmt nicht mit Webhooks-Basis-URL überein
Business Name,Unternehmensname
